Passo	N_2	N_6	N_10	N_14	N_18	N_22	N_26
0.01	0.00031439	0.00246641	0.00129912	0.00151386	0.00161662	0.00194437	0.00228779
0.05	0.00125658	0.00144612	0.00146413	0.00151897	0.0015048	0.00232278	0.00172682
0.1	0.0003441	0.00160173	0.00124617	0.00145579	0.0014453	0.00211857	0.00187765
0.3	0.00029167	0.00134591	0.00125112	0.00135606	0.00150775	0.0020943	0.00192015
0.5	0.00025988	0.00133452	0.00123224	0.00131181	0.00140706	0.00205219	0.00176005
0.7	0.00026338	0.00124499	0.00132211	0.00125928	0.00145936	0.00201199	0.00176931
0.8	0.00026838	0.00130672	0.00124203	0.0014452	0.00150604	0.00199356	0.00177075
0.9	0.00025538	0.0014207	0.00127555	0.00128159	0.00143017	0.00208552	0.00197881
0.95	0.00029852	0.00125207	0.00120907	0.00142801	0.00164419	0.0020012	0.00198786
0.99	0.0003245	0.00120966	0.00122688	0.00142589	0.00161928	0.00235664	0.00180506
