Passo	N_2	N_6	N_10	N_14	N_18	N_22	N_26
0.01	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.09314E-08
0.05	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.30704E-08
0.1	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.16325E-08
0.3	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.24074E-08
0.5	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.16545E-08
0.7	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.38368E-08
0.8	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.19475E-08
0.9	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.19609E-08
0.95	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.18569E-08
0.99	3.6446E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	2.69161E-08	1.16649E-08

