Passo	N_2	N_6	N_10	N_14	N_18	N_22	N_26
0.01	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.32375E-08
0.05	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.73762E-08
0.1	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.46099E-08
0.3	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.60925E-08
0.5	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.46438E-08
0.7	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.8869E-08
0.8	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.52029E-08
0.9	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.52419E-08
0.95	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.50257E-08
0.99	6.98196E-08	5.04357E-08	5.04357E-08	5.04357E-08	5.04356E-08	5.04357E-08	1.46533E-08
