Passo	N_2	N_6	N_10	N_14	N_18	N_22	N_26
0.01	0.00268676	0.00194727	0.00151074	0.00187758	0.00184893	0.00245617	0.0021737
0.05	0.00044378	0.00187803	0.00146949	0.00163741	0.00199442	0.00216137	0.00258565
0.1	0.00047439	0.00149414	0.00156666	0.0018799	0.00202586	0.00249171	0.0020396
0.3	0.00040821	0.00154328	0.00162561	0.001726	0.00190106	0.00229433	0.00236544
0.5	0.00043655	0.00162162	0.00147139	0.00175103	0.00188715	0.00226569	0.00226779
0.7	0.00041643	0.00149228	0.00156309	0.00177787	0.00174882	0.00221625	0.00237196
0.8	0.00042532	0.00151893	0.00161771	0.00168715	0.00197167	0.00252157	0.00242849
0.9	0.00046185	0.00166924	0.00145625	0.0016392	0.00172164	0.00228544	0.00227385
0.95	0.00042759	0.00142554	0.00137035	0.0015688	0.00183192	0.00223573	0.00220191
0.99	0.00040958	0.00146579	0.00142396	0.00163478	0.00168001	0.00231396	0.00225032
